,name,price,original_price,reviews,Rating,Bank_offers,discount_percent
405,"Number Super Buds GT M9 Gaming TWS Earbuds, 60Hr Playba...",999.0,3999.0,173.0,3.8,Bank Offer,75.01875468867217
406,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
407,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",300.0,2999.0,173.0,3.7,Hot Deal,89.99666555518506
408,truke Crystal Dyno Leather Finish earbuds w/ Spatial Au...,899.0,2999.0,173.0,4.1,Hot Deal,70.02334111370457
409,"Mivi AI-Buds (Breakthrough Launch), World's 1st Human-l...",2999.0,19999.0,173.0,3.7,Bank Offer,85.00425021251063
410,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",699.0,3999.0,173.0,4.0,Super Deals,82.52063015753939
411,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,299.0,2399.0,923.0,3.5,Super Deals,87.53647353063776
412,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799.0,3999.0,173.0,4.0,Hot Deal,80.02000500125031
413,"Noise Buds N1 Pro with Metallic Finish, 32dB ANC, 60H P...",1399.0,4999.0,173.0,4.0,Bank Offer,72.01440288057611
414,boAt Airdopes 141 Gen 2 Bluetooth,999.0,3990.0,74.0,4.1,Super Deals,74.9624060150376
415,"JBL Tune Buds 2 TWS, ANC Earbuds, 48Hr Playtime,6 Mics,...",3999.0,9499.0,282.0,3.8,Hot Deal,57.900831666491214
416,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",799.0,2999.0,173.0,4.1,Super Deals,73.35778592864288
417,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,268.0,1299.0,173.0,3.6,Bank Offer,79.36874518860661
418,"GOBOULT Mustang Dash 100Hrs, App Support, Dual Pairing,...",1499.0,5999.0,173.0,4.1,Bank Offer,75.01250208368062
419,"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm...",599.0,2899.0,173.0,4.1,Hot Deal,79.33770265608831
420,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",999.0,4999.0,173.0,4.1,Bank Offer,80.01600320064013
421,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",599.0,2999.0,173.0,4.1,Bank Offer,80.02667555851951
422,"Number Navo Buds N1 w/ 100Hrs Playtime, 4Mic ENC, Dual ...",899.0,5999.0,173.0,4.0,Hot Deal,85.01416902817137
423,"realme Buds Air8 with 55dB ANC,11+6mm Dual Drivers,AI T...",3799.0,5299.0,258.0,4.4,Super Deals,28.307227778826196
424,"EARBUDDY SnapX Buds With Touch Sensor, Waterproof, ANC,...",264.0,1599.0,173.0,3.6,Bank Offer,83.48968105065666
425,"boAt Airdopes 301,75H Battery, 4Mics ENx, ASAP Charge, ...",1299.0,4990.0,173.0,3.9,Bank Offer,73.96793587174348
426,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
427,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799.0,3999.0,173.0,4.0,Bank Offer,80.02000500125031
428,"truke BTG Flex buds with Dual Pairing, 60Hrs Battery, H...",899.0,3499.0,173.0,4.0,Hot Deal,74.30694484138326
429,SONY WF-C710NSA Noise Cancellation Wireless Earbuds wit...,6990.0,12990.0,428.0,3.9,Bank Offer,46.18937644341801
430,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",699.0,1999.0,173.0,4.1,Bank Offer,65.03251625812906
431,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799.0,3999.0,173.0,4.0,Bank Offer,80.02000500125031
432,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,698.0,4999.0,173.0,4.1,Hot Deal,86.03720744148829
433,"PHILIPS TAT1150RD Earbuds with ANC/ENC, 55H Playtime, 1...",1499.0,3999.0,173.0,3.7,Super Deals,62.515628907226805
434,Caidea TWS7 Sufi V5.4 Upto 30Hrs Playtime* Type C Fast ...,299.0,2399.0,923.0,3.5,Super Deals,87.53647353063776
435,boAt Airdopes 121 Pro Plus Bluetooth,1099.0,4990.0,36.0,4.0,Super Deals,77.97595190380761
436,"Number Super Buds GTS9 w/Monster Led Light,70H Playtime...",1099.0,5999.0,46.0,4.3,Bank Offer,81.68028004667445
437,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199.0,3499.0,173.0,4.1,Bank Offer,65.73306659045441
438,OnePlus Buds Pro 3 - Lunar Rediance Bluetooth,10999.0,13999.0,173.0,4.4,Hot Deal,21.430102150153584
439,"realme Buds Air 5 Pro with 50dB ANC, 360 Spatial Audio ...",4999.0,7999.0,173.0,4.4,Bank Offer,37.50468808601075
440,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
441,Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast...,265.0,1299.0,923.0,3.5,Super Deals,79.5996920708237
442,"truke Mega 10 Earbuds w/ 70H Battery, 24-Bit Spatial So...",1199.0,4499.0,173.0,4.1,Bank Offer,73.34963325183375
443,Caidea TW101 Earth 32dB Active Noise Cancellation 60Hrs...,375.0,2999.0,173.0,3.7,Super Deals,87.49583194398133
444,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",599.0,2999.0,173.0,4.1,Bank Offer,80.02667555851951
445,"boAt Nirvana ION ANC Pro w/ Hi-Res Audio with LDAC, ANC...",2399.0,13990.0,173.0,4.2,Super Deals,82.85203716940673
446,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
447,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",300.0,2999.0,173.0,3.7,Hot Deal,89.99666555518506
448,"JBL Tune Beam 2 TWS, ANC Earbuds, 48Hr Playtime,6 Mics,...",4999.0,11999.0,173.0,4.1,Hot Deal,58.338194849570804
449,boAt Airdopes 161 ANC w/ Active Noise Cancellation(32dB...,1299.0,5999.0,173.0,3.8,Hot Deal,78.34639106517753
450,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",699.0,3999.0,173.0,4.0,Super Deals,82.52063015753939
451,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,299.0,2399.0,923.0,3.5,Super Deals,87.53647353063776
452,"REDMI Buds 5C with 40dB Hybrid ANC, Quad-Mic AI Calling...",1599.0,4999.0,173.0,4.0,Bank Offer,68.01360272054411
453,"GOBOULT Klarity 4 ANC 35dB, 4 Mic ENC, 60H Total Batter...",999.0,3999.0,173.0,4.1,Bank Offer,75.01875468867217
454,Hectic Black Earbuds With Premium Quality Sound Bluetoo...,258.0,1199.0,173.0,3.6,Bank Offer,78.48206839032527
455,"POCO Buds X1 with 40 dB ANC, AI ENC + Quad Mic, 36 Hrs ...",1499.0,4999.0,173.0,4.3,Hot Deal,70.01400280056012
456,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",799.0,2999.0,173.0,4.1,Super Deals,73.35778592864288
457,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,268.0,1299.0,173.0,3.6,Bank Offer,79.36874518860661
458,Aroma NB138 Ascrow 32dB Active Noice Cancellation 70H* ...,589.0,2999.0,173.0,3.8,Bank Offer,80.36012004001334
459,SONY WF-C700N/BZ IN Bluetooth,6490.0,12990.0,173.0,4.0,Hot Deal,50.03849114703618
460,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",999.0,4999.0,173.0,4.1,Bank Offer,80.01600320064013
461,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",599.0,2999.0,173.0,4.1,Bank Offer,80.02667555851951
