,name,price,original_price,reviews,Rating,Bank_offers
214,"REDMI Buds 5C with 40dB Hybrid ANC, Quad-Mic AI Calling...","₹1,599","₹4,999","(19,860)",4,Bank Offer
215,"Mivi Duopods K2, 40Hrs PT, HD Call, Fast Charging, 50ms...",₹799,"₹2,999","(1,21,109)",3.9,Only 4 left
216,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"₹2,999","(1,70,536)",4.1,Super Deals
217,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,₹268,"₹1,299","(1,07,050)",3.6,Bank Offer
218,boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,"₹1,499","₹7,990","(1,41,630)",4.1,Bank Offer
219,"Mivi Duopods K2, 40Hrs PT, HD Call, Fast Charging, 50ms...",₹799,"₹2,999","(1,21,109)",3.9,Bank Offer
220,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",₹999,"₹4,999","(4,83,289)",4.1,Bank Offer
221,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"₹2,999","(45,742)",4.1,Bank Offer
222,"Mivi Duopods D4, 50Hrs Playtime, HD Call, Fast Charging...",₹799,"₹2,999","(91,715)",3.9,Bank Offer
223,"Noise Buds F1, 50H playtime, Matte finish Case, Quad Mi...",₹999,"₹3,499","(18,583)",3.9,Bank Offer
224,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...","₹1,199","₹3,499","(2,04,315)",4.1,Bank Offer
225,Caidea TW101 Earth 32dB Active Noise Cancellation 60H* ...,₹599,"₹3,499","(16,594)",3.7,Only 1 left
226,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
227,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
228,"boAt Airdopes 131 Gen 2, 13mm Drivers, 70H Battery, ENx...",₹999,"₹2,990","(20,47,075)",4,Bank Offer
229,SONY WF-C510/BZ IN Bluetooth,"₹4,490","₹8,990","(5,829)",4.1,Hot Deal
230,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",₹699,"₹1,999","(9,150)",4.1,Bank Offer
231,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
232,"Mivi Duopods Infinity [New Launch], 3D Sound, 70 H, AI-...",₹699,"₹4,499","(7,646)",3.9,Hot Deal
233,"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...","₹1,669","₹9,990","(1,41,630)",4.1,Bank Offer
234,"Mivi DuoPods Blaze [New launch], AI-ENC, 60 Hrs, 13mm D...",₹999,"₹3,999","(12,466)",4.1,Bank Offer
235,"Aroma NB126 Berry V5.4 Upto 60Hr Playtime* Dual Paring,...",₹449,"₹2,999","(64,977)",3.8,Super Deals
236,"Number Super Buds GTS9 w/Monster Led Light,70H Playtime...","₹1,099","₹5,999",(46),4.3,Bank Offer
237,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...","₹1,199","₹3,499","(2,04,315)",4.1,Bank Offer
238,"Mivi DuoPods Blaze [New launch], AI-ENC, 60 Hrs, 13mm D...",₹999,"₹3,999","(12,466)",4.1,Bank Offer
239,"boAt Nirvana Zenith Pro (2025),50dB Hybrid ANC,Spatial ...","₹2,799","₹14,990","(4,373)",4.2,Bank Offer
240,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
241,Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast...,₹265,"₹1,299",(923),3.5,Super Deals
242,"Noise Buds F1, 50H playtime, Matte finish Case, Quad Mi...",₹999,"₹3,499","(18,583)",3.9,Bank Offer
243,"boAt Airdopes 219, 40H Battery, Free Music Streaming & ...","₹1,099","₹3,990","(17,750)",4.1,Bank Offer
244,"GWALBROS New White Bluetooth Earbuds, True Wireless Hea...",₹242,"₹1,999","(4,353)",3.6,Bank Offer
245,Aroma NB126 Blaze 32dB Active Noise Cancellation 60H* F...,₹499,"₹3,299","(64,977)",3.8,Bank Offer
246,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
247,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",₹300,"₹2,999","(16,594)",3.7,Hot Deal
248,"boAt Airdopes Prime 412, AI-ENx Tech, 50 Hour Battery, ...","₹1,299","₹4,490","(1,684)",4.1,Bank Offer
249,"boAt Airdopes 181 Pro, 100H Battery, ENx,LED Display, S...","₹1,299","₹4,990","(1,18,176)",4,Bank Offer
250,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"₹3,999","(88,543)",4,Super Deals
251,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"₹2,999","(1,70,536)",4.1,Super Deals
252,boAt Airdopes 800(2025 Launch) HiDef w/Hi-Res Audio by ...,"₹1,799","₹7,490","(24,729)",4.1,Bank Offer
253,"GOBOULT Mustang Derby with 100 Hrs Battery, App Support...","₹1,299","₹5,999","(81,712)",4.1,Hot Deal
254,Nothing Ear (a) 2024 | ChatGPT Compatible | Hi-Res audi...,"₹4,999","₹9,999","(4,233)",4.1,Hot Deal
255,truke Crystal Dyno Leather Finish earbuds w/ Spatial Au...,₹899,"₹2,999","(6,806)",4.1,Hot Deal
256,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,₹299,"₹2,399",(923),3.5,Super Deals
257,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,₹268,"₹1,299","(1,07,050)",3.6,Bank Offer
258,Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*...,₹489,"₹3,499","(16,594)",3.7,Bank Offer
259,"truke Buds AURA with 70Hrs Playtime, 4-Mic ENC, 13mm Sp...",₹699,"₹2,799","(4,832)",4,Bank Offer
260,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",₹999,"₹4,999","(4,83,289)",4.1,Bank Offer
261,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"₹2,999","(45,742)",4.1,Bank Offer
262,"Noise Buds E1 (New Launch) 35H Playtime, Quad mic ENC, ...","₹1,099","₹3,499",(783),4,Super Deals
263,"Mivi Duopods D4, 50Hrs Playtime, HD Call, Fast Charging...",₹799,"₹2,999","(91,715)",3.9,Bank Offer
264,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",₹599,"₹3,999","(68,190)",4.1,Hot Deal
265,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
266,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
267,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
268,"boAt Airdopes 161 ANC Elite,ANC, 50 H Battery,,ENx Tech...","₹1,399","₹6,999","(15,15,236)",4,Bank Offer
269,"realme T200 Hi-Res with 32dB ANC,12.4mm driver Quad Mic...","₹1,499","₹2,999","(92,622)",4.3,Hot Deal
270,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",₹699,"₹1,999","(9,150)",4.1,Bank Offer
271,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
272,"realme Buds Air 6 Pro with 50dB ANC, 360 Spatial Audio ...","₹4,999","₹7,999","(14,397)",4.4,Bank Offer
273,"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...","₹1,099","₹3,499","(1,37,386)",4.1,Bank Offer
274,"JBL Wave Beam TWS, 32Hr Playtime, IP54, Smart Ambient &...","₹2,499","₹4,999","(16,851)",3.9,Hot Deal
275,"Skullcandy Ink’D True Wireless Earbuds, 48Hr Battery + ...","₹1,999","₹9,999",(199),3.7,Hot Deal
276,"Number Super Buds GTS9 w/Monster Led Light,70H Playtime...","₹1,099","₹5,999",(46),4.3,Bank Offer
277,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...","₹1,199","₹3,499","(2,04,315)",4.1,Bank Offer
278,TECHIO AirBeats Wireless Earbuds with Dual Mic ENC for ...,₹572,"₹4,999",(912),3.7,Bank Offer
279,"PTron Bassbuds Rogue w/ 40ms Game Mode, 50Hrs Playtime,...",₹663,"₹2,299","(1,870)",3.9,Bank Offer
280,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
281,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
282,"Mivi Duopods Infinity [New Launch], 3D Sound, 70 H, AI-...",₹699,"₹4,499","(7,646)",3.9,Hot Deal
283,"JBL Live Pro 2, Active Adaptive Noise Cancellation, 40H...","₹6,999","₹16,999","(1,629)",4.3,Bank Offer
284,"Noise Buds E1 (New Launch) 35H Playtime, Quad mic ENC, ...","₹1,099","₹3,499",(783),4,Hot Deal
285,"TRIGGR Ultrabuds N4 with Premium Finish, Rubber Grip De...",₹599,"₹1,999","(14,359)",4,Bank Offer
286,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
287,"Number Super Buds GTS9 w/Monster Led Light,70H Playtime...","₹1,099","₹5,999",(46),4.3,Bank Offer
288,"Mivi Duopods I6, 55Hrs PT, HD Call, Fast Charging, 3D S...",₹899,"₹3,499","(53,786)",3.9,Bank Offer
289,"Noise Buds Trance with 45 Hrs Playtime, Low Latency (up...",₹999,"₹2,499","(43,427)",4.1,Hot Deal
290,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",₹699,"₹1,999","(9,150)",4.1,Bank Offer
291,"TRIGGR Apex S2 2025, Dual Pairing, 60H Battery, Preset ...",₹799,"₹3,999","(16,872)",3.9,Bank Offer
292,"truke Airbuds Lite with Quad Mic ENC, 48Hrs Battery, Ga...",₹699,"₹2,999","(81,320)",3.9,Hot Deal
293,truke Crystal Dyno Leather Finish earbuds w/ Spatial Au...,₹899,"₹2,999","(6,806)",4.1,Hot Deal
294,"Soundcore by Anker R50i NC,45Hr Playtime,4 mics with 42...","₹1,499","₹5,598","(1,033)",4.2,Bank Offer
295,Portronics Harmonics Twins S3 Smart TWS Bluetooth Earbu...,₹629,"₹1,999","(10,227)",4,Bank Offer
296,"TRIGGR Apex S2 2025, Dual Pairing, 60H Battery, Preset ...",₹799,"₹3,999","(16,872)",3.9,Bank Offer
297,"TRIGGR Apex S2 2025, Dual Pairing, 60H Battery, Preset ...",₹799,"₹3,999","(16,872)",3.9,Bank Offer
298,Aroma NB126 Crown V5.4 Upto 60Hr Playtime* Dual Pairing...,₹599,"₹2,299","(64,977)",3.8,Bank Offer
299,"boAt Nirvana Ion ANC Pro w/ Hi-Res Audio with LDAC, ANC...","₹2,399","₹13,990","(1,22,801)",4.2,Super Deals
300,"TRIGGR Apex S2 2025, Dual Pairing, 60H Battery, Preset ...",₹799,"₹3,999","(16,872)",3.9,Bank Offer
301,"TRIGGR Opus with Latest BT v6.0, Dual Pairing, Chrome L...",₹799,"₹3,999","(3,598)",3.9,Super Deals
302,Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,₹469,"₹2,999","(37,422)",3.8,Bank Offer
303,Clubics M19: Compact Earbud Bliss Bluetooth,₹297,"₹2,949","(12,854)",3.6,Bank Offer
304,"GOBOULT Z40 v2.0 70Hrs Battery Life, Legacy Continues, ...",₹999,"₹5,499","(7,665)",4.1,Bank Offer
305,"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...","₹1,999","₹8,999","(1,41,630)",4.1,Bank Offer
306,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...","₹1,299","₹2,999","(23,495)",4.1,Bank Offer
307,"GOBOULT Z60 with 60Hr Battery, 4 Mic ENC, 50ms Ultra Lo...",₹899,"₹2,999","(94,828)",4.1,Bank Offer
308,"Mivi Duopods D4, 50Hrs Playtime, HD Call, Fast Charging...",₹799,"₹2,999","(91,715)",3.9,Bank Offer
309,OnePlus Buds Pro 3 True Wireless In-Ear Buds Bluetooth,"₹10,999","₹13,999","(2,327)",4.4,Hot Deal
310,"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm...",₹599,"₹3,999","(30,027)",3.8,Hot Deal
311,"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm...",₹599,"₹3,999","(30,027)",3.8,Hot Deal
312,"Noise Buds VS404 with 50 Hours Playtime, ENC with Quad ...",₹999,"₹3,499","(87,218)",3.9,Hot Deal
313,vivo TWS 3e buds up-to 30dB Active Noise Cancellation |...,"₹1,899","₹2,499","(13,122)",4.2,Hot Deal
314,"Noise Buds VS102 Elite with 50Hr Playtime, ENC, Quad Mi...","₹1,299","₹3,499","(6,83,463)",4,Bank Offer
315,"JBL Wave Buds 2 ANC Earbuds with BTv5.3,Multi Connect,F...","₹2,499","₹6,999","(2,359)",3.7,Hot Deal
316,"GOBOULT Z40 Pro with 100Hr, 4 Mic ENC, Scratch Proof, R...","₹1,299","₹5,499","(1,63,620)",4.1,Bank Offer
317,"truke Mega 9 Earbuds w/24 bit 360 Spatial Sound,Leather...","₹1,099","₹3,999","(4,250)",4,Bank Offer
318,"Portronics Twins S16 in Ear Earbuds With Mic,24H Playti...",₹743,"₹1,999","(6,227)",4,Bank Offer
319,"Noise Buds N1 Pro with Metallic Finish, 32dB ANC, 60H P...","₹1,399","₹4,999","(1,328)",4,Bank Offer
320,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
321,Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast...,₹265,"₹1,299",(923),3.5,Super Deals
322,"truke BTG Flex buds with Dual Pairing, 60Hrs Battery, H...",₹899,"₹3,499","(89,235)",4,Hot Deal
323,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,₹698,"₹4,999","(10,117)",4.1,Hot Deal
324,"PHILIPS TAT1150RD Earbuds with ANC/ENC, 55H Playtime, 1...","₹1,499","₹3,999","(1,395)",3.7,Super Deals
325,boAt Airdopes 121 Pro Plus Bluetooth,"₹1,099","₹4,990",(36),4,Super Deals
326,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
327,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",₹300,"₹2,999","(16,594)",3.7,Hot Deal
328,SONY WF-C710N/LZIN Bluetooth,"₹7,990","₹12,990",(428),3.9,Bank Offer
329,SONY WF-C510/WZ IN Bluetooth,"₹4,490","₹8,990","(5,829)",4.1,Hot Deal
330,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"₹3,999","(88,543)",4,Super Deals
331,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,₹299,"₹2,399",(923),3.5,Super Deals
332,"Noise Buds N2 Pro (New Launch) with 70H Playtime, 32dB ...","₹1,799","₹4,999","(1,038)",4.1,Bank Offer
333,"JBL Live Pro 2, Active Adaptive Noise Cancellation, 40H...","₹6,999","₹16,999","(1,629)",4.3,Hot Deal
334,OnePlus Buds Pro 3 - Lunar Rediance Bluetooth,"₹10,999","₹13,999","(2,327)",4.4,Hot Deal
335,OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"₹1,599","₹3,999","(4,14,001)",4.3,Hot Deal
336,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"₹2,999","(1,70,536)",4.1,Super Deals
337,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,₹268,"₹1,299","(1,07,050)",3.6,Bank Offer
338,"realme Buds Air 5 Pro with 50dB ANC, 360 Spatial Audio ...","₹4,999","₹7,999","(22,858)",4.4,Bank Offer
339,NS WORLD Thunder Pods | High Bass | Large Battery headp...,₹281,"₹1,400","(2,903)",3.6,Bank Offer
340,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",₹999,"₹4,999","(4,83,289)",4.1,Bank Offer
341,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"₹2,999","(45,742)",4.1,Bank Offer
342,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime,...",₹599,"₹2,999","(6,749)",4,Bank Offer
343,"Noise Buds N2 Pro (New Launch) with 70H Playtime, 32dB ...","₹1,799","₹4,999","(1,038)",4.1,Bank Offer
344,"Fire-Boltt Game Pods Ninja 601 Earbuds TWS, Voice Assis...","₹1,394","₹4,499","(15,540)",3.8,Bank Offer
345,"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm...",₹599,"₹2,899","(19,557)",4.1,Hot Deal
346,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
347,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
348,"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",₹599,"₹2,999","(71,301)",3.9,Bank Offer
349,"boAt Airdopes Prime 700 ANC,(~48dB) Hybrid ANC, Spatial...","₹1,899","₹7,990",(632),3.7,Super Deals
350,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",₹699,"₹1,999","(9,150)",4.1,Bank Offer
351,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
352,HOPPUP Predator Xo3 Gaming Earbuds with 35MS Low Latenc...,₹759,"₹4,999","(9,442)",4,Hot Deal
353,"Noise Buds E1 (New Launch) 35H Playtime, Quad mic ENC, ...","₹1,099","₹3,499",(783),4,Hot Deal
354,Caidea TW101 Earth 32dB Active Noise Cancellation 60Hrs...,₹375,"₹2,999","(16,594)",3.7,Super Deals
355,"truke Mega 10 Earbuds w/ 70H Battery, 24-Bit Spatial So...","₹1,199","₹4,499","(2,016)",4.1,Bank Offer
356,"Number Super Buds GTS9 w/Monster Led Light,70H Playtime...","₹1,099","₹5,999",(46),4.3,Bank Offer
357,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...","₹1,199","₹3,499","(2,04,315)",4.1,Bank Offer
358,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"₹2,999","(45,742)",4.1,Bank Offer
359,"boAt Nirvana ION ANC Pro w/ Hi-Res Audio with LDAC, ANC...","₹2,399","₹13,990","(1,22,801)",4.2,Super Deals
360,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
361,Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast...,₹265,"₹1,299",(923),3.5,Super Deals
362,"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm...",₹599,"₹3,999","(30,027)",3.8,Hot Deal
363,"Noise Aura Buds with Dual Device Pairing, 60 Hours of P...","₹1,499","₹4,499","(7,977)",4,Bank Offer
364,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
365,"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",₹599,"₹2,999","(71,301)",3.9,Bank Offer
366,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
367,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",₹300,"₹2,999","(16,594)",3.7,Hot Deal
368,"JBL Wave Buds 2 ANC Earbuds with BTv5.3,Multi Connect,F...","₹2,499","₹6,999","(2,359)",3.7,Hot Deal
369,Google Pixel Buds Pro with Active Noise Cancellation Bl...,"₹9,990","₹19,900","(4,389)",4.5,Hot Deal
370,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"₹3,999","(88,543)",4,Super Deals
371,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,₹299,"₹2,399",(923),3.5,Super Deals
372,"ZEBRONICS Zeb-Sound Bomb 7, TWS, 60h Backup, BT v5.2, E...",₹699,"₹4,299","(18,151)",4,Super Deals
373,"Mivi Duopods Infinity [New Launch], 3D Sound, 70 H, AI-...",₹699,"₹4,499","(7,646)",3.9,Hot Deal
374,"JBL Live Pro 2, Active Adaptive Noise Cancellation, 40H...","₹6,999","₹16,999","(1,629)",4.3,Bank Offer
375,"truke Mega 9 Earbuds w/24 bit 360 Spatial Sound,Leather...","₹1,099","₹3,999","(4,250)",4,Bank Offer
376,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"₹2,999","(1,70,536)",4.1,Super Deals
377,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,₹268,"₹1,299","(1,07,050)",3.6,Bank Offer
378,"Portronics Harmonics Twins S3 Smart TWS Earbuds,20 Hour...",₹629,"₹1,999","(10,227)",4,Hot Deal
379,"TRIGGR Ultrabuds N4 with Premium Finish, Rubber Grip De...",₹599,"₹1,999","(14,359)",4,Bank Offer
380,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",₹999,"₹4,999","(4,83,289)",4.1,Bank Offer
381,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"₹2,999","(45,742)",4.1,Bank Offer
382,"Mivi Duopods I6, 55Hrs PT, HD Call, Fast Charging, 3D S...",₹899,"₹3,499","(53,786)",3.9,Bank Offer
383,"Noise Buds Trance with 45 Hrs Playtime, Low Latency (up...",₹999,"₹2,499","(43,427)",4.1,Hot Deal
384,Samsung SM-R410N Galaxy Buds Core - Black Bluetooth,"₹4,404","₹9,999",(124),4.2,Bank Offer
385,"Noise Buds E1 (New Launch) 35H Playtime, Quad mic ENC, ...","₹1,099","₹3,499",(783),4,Hot Deal
386,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
387,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
388,"truke Airbuds Lite with Quad Mic ENC, 48Hrs Battery, Ga...",₹699,"₹2,999","(81,320)",3.9,Hot Deal
389,Portronics Harmonics Twins S3 Smart TWS Bluetooth Earbu...,₹629,"₹1,999","(10,227)",4,Bank Offer
390,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",₹699,"₹1,999","(9,150)",4.1,Bank Offer
391,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
392,"Soundcore by Anker R50i NC,45Hr Playtime,4 mics with 42...","₹1,499","₹5,598","(1,033)",4.2,Bank Offer
393,truke Crystal Dyno Leather Finish earbuds w/ Spatial Au...,₹899,"₹2,999","(6,806)",4.1,Hot Deal
394,Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,₹469,"₹2,999","(37,422)",3.8,Bank Offer
395,Clubics M19: Compact Earbud Bliss Bluetooth,₹297,"₹2,949","(12,854)",3.6,Bank Offer
396,"Number Super Buds GTS9 w/Monster Led Light,70H Playtime...","₹1,099","₹5,999",(46),4.3,Bank Offer
397,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...","₹1,199","₹3,499","(2,04,315)",4.1,Bank Offer
398,"GOBOULT Z40 v2.0 70Hrs Battery Life, Legacy Continues, ...",₹999,"₹5,499","(7,665)",4.1,Bank Offer
399,"boAt Nirvana Ion ANC Pro w/ Hi-Res Audio with LDAC, ANC...","₹2,399","₹13,990","(1,22,801)",4.2,Super Deals
400,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
401,Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast...,₹265,"₹1,299",(923),3.5,Super Deals
402,"TRIGGR Rizz with 40H Playback, Spherical Design, 13mm D...",₹699,"₹1,999","(18,281)",4,Bank Offer
403,boAt Airdopes Plus 311 Bluetooth,₹999,"₹3,990",(239),4.1,Super Deals
404,"TRIGGR Apex S2 with Dual Pairing, 60H Battery, Quad Mic...",₹799,"₹3,999","(16,872)",3.9,Bank Offer
405,"Number Super Buds GT M9 Gaming TWS Earbuds, 60Hr Playba...",₹999,"₹3,999","(6,583)",3.8,Bank Offer
406,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
407,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",₹300,"₹2,999","(16,594)",3.7,Hot Deal
408,truke Crystal Dyno Leather Finish earbuds w/ Spatial Au...,₹899,"₹2,999","(6,806)",4.1,Hot Deal
409,"Mivi AI-Buds (Breakthrough Launch), World's 1st Human-l...","₹2,999","₹19,999","(1,539)",3.7,Bank Offer
410,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"₹3,999","(88,543)",4,Super Deals
411,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,₹299,"₹2,399",(923),3.5,Super Deals
412,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Hot Deal
413,"Noise Buds N1 Pro with Metallic Finish, 32dB ANC, 60H P...","₹1,399","₹4,999","(1,328)",4,Bank Offer
414,boAt Airdopes 141 Gen 2 Bluetooth,₹999,"₹3,990",(74),4.1,Super Deals
415,"JBL Tune Buds 2 TWS, ANC Earbuds, 48Hr Playtime,6 Mics,...","₹3,999","₹9,499",(282),3.8,Hot Deal
416,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"₹2,999","(1,70,536)",4.1,Super Deals
417,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,₹268,"₹1,299","(1,07,050)",3.6,Bank Offer
418,"GOBOULT Mustang Dash 100Hrs, App Support, Dual Pairing,...","₹1,499","₹5,999","(81,712)",4.1,Bank Offer
419,"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm...",₹599,"₹2,899","(19,557)",4.1,Hot Deal
420,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",₹999,"₹4,999","(4,83,289)",4.1,Bank Offer
421,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"₹2,999","(45,742)",4.1,Bank Offer
422,"Number Navo Buds N1 w/ 100Hrs Playtime, 4Mic ENC, Dual ...",₹899,"₹5,999","(4,079)",4,Hot Deal
423,"realme Buds Air8 with 55dB ANC,11+6mm Dual Drivers,AI T...","₹3,799","₹5,299",(258),4.4,Super Deals
424,"EARBUDDY SnapX Buds With Touch Sensor, Waterproof, ANC,...",₹264,"₹1,599","(1,165)",3.6,Bank Offer
425,"boAt Airdopes 301,75H Battery, 4Mics ENx, ASAP Charge, ...","₹1,299","₹4,990","(12,567)",3.9,Bank Offer
426,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
427,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
