,name,price,original_price,reviews,Rating,Bank_offers
54,MarQ by Flipkart Rhythm Q0824 30 Hours Playtime Type C ...,₹499,"₹2,999",(691),4,Bank Offer
55,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"₹2,999","(1,70,536)",4.1,Super Deals
56,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,₹299,"₹2,399",(923),3.5,Super Deals
57,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,₹268,"₹1,299","(1,07,050)",3.6,Bank Offer
58,"Aroma NB126 Berry V5.4 Upto 60Hr Playtime* Dual Paring,...",₹799,"₹2,999","(64,977)",3.8,Bank Offer
59,OnePlus Nord Buds 3 with up to 32dB ANC Bluetooth,"₹1,899","₹2,799","(65,110)",4.3,Hot Deal
60,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",₹999,"₹4,999","(4,83,289)",4.1,Bank Offer
61,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
62,"truke Buds Elite with 10mm Driver, 70Hrs Battery, Volum...",₹699,"₹2,299","(6,790)",3.9,Bank Offer
63,"boAt Airdopes 212,Translucent Lid, 50H Battery,ENx Tech...",₹999,"₹3,290","(10,904)",4.2,Bank Offer
64,truke Crystal Dyno Leather Finish earbuds w/ Spatial Au...,₹899,"₹2,999","(6,806)",4.1,Hot Deal
65,GWALBROS Earbuds M19 PRO with Power Bank Upto 48Hrs Pla...,₹288,"₹1,999",(847),3.8,Only few left
66,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
67,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"₹2,999","(45,742)",4.1,Bank Offer
68,"boAt Airdopes 161, Adv 4Mic ENx, 50H Battery,Fast Charg...",₹999,"₹2,999","(15,15,236)",4,Bank Offer
69,"boAt Airdopes Alpha,35H Battery, 13mm Drivers,ENx, Stre...",₹799,"₹3,490","(7,19,265)",4,Bank Offer
70,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",₹699,"₹1,999","(9,150)",4.1,Bank Offer
71,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...","₹1,199","₹3,499","(2,04,315)",4.1,Bank Offer
72,"GOBOULT W10 55H Battery, 4 Mic ENC, Spatial Audio, Low ...",₹799,"₹2,499","(24,690)",3.9,Bank Offer
73,BULLSTORM BS ultrapood Good Sound Bluetooth Gaming,₹498,"₹2,999",(455),3.7,Bank Offer
74,spellcell Latest Black Earbuds With Premium Quality Sou...,₹268,₹949,"(9,264)",3.6,Hot Deal
75,"GOBOULT K10 50H Battery Life, 4 Mic ENC, Low Latency, D...",₹799,"₹2,499","(37,279)",4,Bank Offer
76,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"₹3,999","(48,668)",4,Bank Offer
77,"Number Super Buds GTS9 w/Monster Led Light,70H Playtime...","₹1,099","₹5,999",(46),4.3,Bank Offer
78,"ZEBRONICS Zeb-Pods K2, Upto 40H Backup, Dual EQ Mode,Qu...",₹799,"₹4,499","(1,058)",4,Bank Offer
79,"Noise Buds F1, 50H playtime, Matte finish Case, Quad Mi...",₹999,"₹3,499","(18,583)",3.9,Bank Offer
80,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
81,Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast...,₹265,"₹1,299",(923),3.5,Super Deals
82,"boAt Airdopes 161/163,ASAP Charge,40 H Battery, Stream ...",₹999,"₹2,490","(15,15,236)",4,Bank Offer
83,"ZEBRONICS Zeb-Sound Bomb 7, TWS, 60h Backup, BT v5.2, E...",₹699,"₹4,299","(18,151)",4,Hot Deal
84,Caidea TW101 Earth 32dB Active Noise Cancellation 60H* ...,₹599,"₹3,499","(16,594)",3.7,Only 1 left
85,"truke Buds F1 Ultra with 60 Hours Playtime, Spatial Aud...",₹799,"₹2,999","(43,526)",4,Bank Offer
86,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
87,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",₹300,"₹2,999","(16,594)",3.7,Hot Deal
88,"PHILIPS TAT1269BK In-Ear Earbuds, 13mm Drivers, 40H, IP...",₹999,"₹1,999","(4,259)",4.1,Bank Offer
89,"boAt Airdopes 71,40 H Battery, ENx Tech, Low Latency, S...",₹899,"₹3,990","(1,49,406)",3.9,Super Deals
90,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"₹2,999","(1,70,536)",4.1,Super Deals
91,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"₹3,999","(88,543)",4,Super Deals
92,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",₹899,"₹2,999","(6,83,463)",4,Super Deals
93,"boAt Airdopes 101v2, Flex Fit Tips,13mm Drivers, Stream...",₹799,"₹3,990","(12,730)",4,Bank Offer
94,"ZEBRONICS Zeb-Sound Bomb 7, TWS, 60h Backup, BT v5.2, E...",₹699,"₹4,299","(18,151)",4,Hot Deal
